 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.723004E-01 0.532481E+00 0.539265E+00 -.278309E+00 -.481558E+01 -.382816E+01 0.384986E-01 0.710993E-01
   1 0.818421E+01 0.676569E-01 0.518626E+00 0.524821E+00 -.264395E+00 -.482530E+01 -.381483E+01 0.350886E-01 0.658141E-01
   1 0.836842E+01 0.635357E-01 0.504291E+00 0.510022E+00 -.250273E+00 -.466644E+01 -.399115E+01 0.320405E-01 0.615253E-01
   1 0.855263E+01 0.599984E-01 0.489984E+00 0.495314E+00 -.236484E+00 -.459713E+01 -.404196E+01 0.293982E-01 0.582170E-01
   1 0.873684E+01 0.564791E-01 0.473892E+00 0.478865E+00 -.221384E+00 -.464657E+01 -.356728E+01 0.267650E-01 0.552366E-01
   1 0.892105E+01 0.538058E-01 0.457171E+00 0.461915E+00 -.206110E+00 -.455370E+01 -.315989E+01 0.245984E-01 0.539030E-01
   1 0.910526E+01 0.512150E-01 0.438592E+00 0.443168E+00 -.189740E+00 -.443652E+01 -.310524E+01 0.224625E-01 0.530847E-01
   1 0.928947E+01 0.491255E-01 0.418796E+00 0.423286E+00 -.172977E+00 -.426793E+01 -.350172E+01 0.205736E-01 0.535547E-01
   1 0.947368E+01 0.471697E-01 0.397170E+00 0.401632E+00 -.155519E+00 -.423936E+01 -.324193E+01 0.187344E-01 0.548616E-01
   1 0.965789E+01 0.454715E-01 0.373554E+00 0.378070E+00 -.137475E+00 -.429994E+01 -.315034E+01 0.169861E-01 0.575513E-01
   1 0.984211E+01 0.439330E-01 0.349285E+00 0.353983E+00 -.120070E+00 -.408716E+01 -.296947E+01 0.153451E-01 0.613266E-01
   1 0.100263E+02 0.428469E-01 0.323662E+00 0.328678E+00 -.102922E+00 -.394526E+01 -.300464E+01 0.138679E-01 0.677056E-01
   1 0.102105E+02 0.414978E-01 0.296922E+00 0.302206E+00 -.864407E-01 -.386632E+01 -.315122E+01 0.123216E-01 0.751662E-01
   1 0.103947E+02 0.406639E-01 0.271890E+00 0.277619E+00 -.722707E-01 -.376785E+01 -.253662E+01 0.110561E-01 0.856007E-01
   1 0.105789E+02 0.396025E-01 0.248007E+00 0.254161E+00 -.599393E-01 -.363737E+01 -.270404E+01 0.982172E-02 0.969852E-01
   1 0.107632E+02 0.389106E-01 0.225629E+00 0.232321E+00 -.493945E-01 -.368845E+01 -.233373E+01 0.877936E-02 0.112189E+00
   1 0.109474E+02 0.380648E-01 0.205254E+00 0.212374E+00 -.406803E-01 -.353862E+01 -.244141E+01 0.781295E-02 0.128574E+00
   1 0.111316E+02 0.374276E-01 0.186422E+00 0.194125E+00 -.333523E-01 -.336867E+01 -.253997E+01 0.697733E-02 0.148980E+00
   1 0.113158E+02 0.366443E-01 0.169119E+00 0.177350E+00 -.272585E-01 -.328642E+01 -.183673E+01 0.619725E-02 0.171331E+00
   1 0.115000E+02 0.361530E-01 0.153786E+00 0.162545E+00 -.223432E-01 -.326171E+01 -.191931E+01 0.555984E-02 0.198514E+00
   2 0.800000E+01 0.800215E-01 0.499828E+00 0.509038E+00 -.243425E+00 -.454367E+01 -.378326E+01 0.399970E-01 0.974651E-01
   2 0.818421E+01 0.745240E-01 0.483520E+00 0.491939E+00 -.228238E+00 -.450961E+01 -.362251E+01 0.360339E-01 0.906632E-01
   2 0.836842E+01 0.701619E-01 0.465378E+00 0.473270E+00 -.211654E+00 -.445182E+01 -.381502E+01 0.326518E-01 0.869219E-01
   2 0.855263E+01 0.659912E-01 0.444386E+00 0.451980E+00 -.193124E+00 -.432327E+01 -.338797E+01 0.293256E-01 0.844433E-01
   2 0.873684E+01 0.624783E-01 0.421066E+00 0.428564E+00 -.173393E+00 -.416669E+01 -.345093E+01 0.263075E-01 0.843143E-01
   2 0.892105E+01 0.593661E-01 0.394517E+00 0.402202E+00 -.152119E+00 -.411258E+01 -.242924E+01 0.234209E-01 0.866079E-01
   2 0.910526E+01 0.563827E-01 0.364521E+00 0.372486E+00 -.129696E+00 -.396312E+01 -.270187E+01 0.205526E-01 0.912790E-01
   2 0.928947E+01 0.539271E-01 0.332707E+00 0.341304E+00 -.107786E+00 -.395745E+01 -.305250E+01 0.179420E-01 0.997756E-01
   2 0.947368E+01 0.518171E-01 0.298990E+00 0.308349E+00 -.867102E-01 -.384486E+01 -.278048E+01 0.154928E-01 0.113237E+00
   2 0.965789E+01 0.499667E-01 0.265800E+00 0.275932E+00 -.681529E-01 -.375062E+01 -.264190E+01 0.132811E-01 0.131870E+00
