 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         401
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 -.630669E-01 0.100995E+00 0.103145E+01 0.310284E+01 0.278343E-01 0.572345E+00 0.161817E-01
 0.818421E+01 -.616695E-01 0.985627E-01 0.982788E+00 0.284771E+01 0.172233E-01 0.570643E+00 0.162368E-01
 0.836842E+01 -.600840E-01 0.960542E-01 0.933817E+00 0.260284E+01 0.504756E-02 0.569404E+00 0.160925E-01
 0.855263E+01 -.584099E-01 0.934863E-01 0.884980E+00 0.236996E+01 -.867774E-02 0.567975E+00 0.159245E-01
 0.873684E+01 -.565000E-01 0.908515E-01 0.836191E+00 0.214670E+01 -.233832E-01 0.566132E+00 0.158566E-01
 0.892105E+01 -.545014E-01 0.881723E-01 0.788001E+00 0.193641E+01 -.394964E-01 0.564101E+00 0.157332E-01
 0.910526E+01 -.524315E-01 0.854507E-01 0.740506E+00 0.173835E+01 -.567196E-01 0.561460E+00 0.157196E-01
 0.928947E+01 -.503513E-01 0.827078E-01 0.694129E+00 0.155342E+01 -.747004E-01 0.558554E+00 0.156894E-01
 0.947368E+01 -.482141E-01 0.799400E-01 0.648851E+00 0.138135E+01 -.936891E-01 0.554852E+00 0.158558E-01
 0.965789E+01 -.460008E-01 0.771618E-01 0.604934E+00 0.122196E+01 -.113064E+00 0.551143E+00 0.159020E-01
 0.984211E+01 -.438463E-01 0.743744E-01 0.562436E+00 0.107544E+01 -.133232E+00 0.546834E+00 0.160311E-01
 0.100263E+02 -.417162E-01 0.715753E-01 0.521319E+00 0.940837E+00 -.153947E+00 0.542282E+00 0.162011E-01
 0.102105E+02 -.396605E-01 0.687778E-01 0.481791E+00 0.818192E+00 -.174941E+00 0.537157E+00 0.164781E-01
 0.103947E+02 -.377889E-01 0.660170E-01 0.444312E+00 0.707738E+00 -.195020E+00 0.531905E+00 0.167515E-01
 0.105789E+02 -.361449E-01 0.632909E-01 0.408813E+00 0.608654E+00 -.213949E+00 0.525895E+00 0.171989E-01
 0.107632E+02 -.345681E-01 0.606104E-01 0.375352E+00 0.520480E+00 -.231414E+00 0.520472E+00 0.174694E-01
 0.109474E+02 -.331810E-01 0.579947E-01 0.344096E+00 0.442472E+00 -.245675E+00 0.514686E+00 0.178443E-01
 0.111316E+02 -.319156E-01 0.554575E-01 0.315074E+00 0.373941E+00 -.255615E+00 0.509426E+00 0.181151E-01
 0.113158E+02 -.307477E-01 0.530122E-01 0.288320E+00 0.314753E+00 -.262112E+00 0.504024E+00 0.184412E-01
 0.115000E+02 -.297977E-01 0.506664E-01 0.263784E+00 0.263482E+00 -.262211E+00 0.498979E+00 0.186804E-01
