 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         901
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.483395E+00 0.244102E+00 0.701808E-01 0.185113E+00 0.822193E+00 0.329464E+00 0.978640E+00 0.250654E-02 0.973186E-02 0.208550E-01 0.322535E+00 0.138804E+00 0.380097E-01 0.603869E+00 0.107009E-01 0.270136E+00 0.105298E+00 0.230343E-01 0.543809E+00 0.170501E-01 0.585285E-01 0.288922E-02 0.436582E+00 0.352774E-01
 0.818421E+01 0.464940E+00 0.227495E+00 0.624002E-01 0.175786E+00 0.794295E+00 0.365171E+00 0.973364E+00 0.313285E-02 0.101178E-01 0.241264E-01 0.308709E+00 0.129816E+00 0.344514E-01 0.593259E+00 0.118005E-01 0.257785E+00 0.976791E-01 0.204602E-01 0.530901E+00 0.180526E-01 0.522340E-01 0.269735E-02 0.420075E+00 0.348664E-01
 0.836842E+01 0.445856E+00 0.211077E+00 0.551748E-01 0.166061E+00 0.761602E+00 0.409489E+00 0.966201E+00 0.404356E-02 0.105072E-01 0.286158E-01 0.294569E+00 0.120920E+00 0.310615E-01 0.581130E+00 0.128968E-01 0.245260E+00 0.901563E-01 0.180401E-01 0.516448E+00 0.191329E-01 0.463105E-01 0.250210E-02 0.404109E+00 0.344705E-01
 0.855263E+01 0.426184E+00 0.194919E+00 0.485011E-01 0.156025E+00 0.723434E+00 0.458798E+00 0.956708E+00 0.529679E-02 0.108887E-01 0.330105E-01 0.280207E+00 0.112186E+00 0.278645E-01 0.567331E+00 0.140397E-01 0.232571E+00 0.827333E-01 0.157684E-01 0.501649E+00 0.200824E-01 0.407834E-01 0.230043E-02 0.389306E+00 0.341190E-01
 0.873684E+01 0.405992E+00 0.179126E+00 0.423901E-01 0.145749E+00 0.678869E+00 0.511781E+00 0.944403E+00 0.683167E-02 0.112549E-01 0.373610E-01 0.265753E+00 0.103668E+00 0.248625E-01 0.551762E+00 0.152478E-01 0.219727E+00 0.754579E-01 0.136684E-01 0.486178E+00 0.209097E-01 0.356893E-01 0.209490E-02 0.376445E+00 0.338691E-01
 0.892105E+01 0.385282E+00 0.163733E+00 0.368192E-01 0.135325E+00 0.626578E+00 0.566151E+00 0.928446E+00 0.867570E-02 0.115974E-01 0.412403E-01 0.251232E+00 0.953758E-01 0.220574E-01 0.534855E+00 0.163734E-01 0.206735E+00 0.683568E-01 0.117413E-01 0.469451E+00 0.217056E-01 0.310184E-01 0.188450E-02 0.365712E+00 0.337209E-01
 0.910526E+01 0.364159E+00 0.148821E+00 0.317650E-01 0.124831E+00 0.565767E+00 0.616628E+00 0.908200E+00 0.108578E-01 0.119008E-01 0.436345E-01 0.236770E+00 0.873629E-01 0.194491E-01 0.516707E+00 0.174308E-01 0.193638E+00 0.614582E-01 0.998192E-02 0.451879E+00 0.223569E-01 0.267825E-01 0.167302E-02 0.357762E+00 0.336641E-01
 0.928947E+01 0.342908E+00 0.134542E+00 0.272201E-01 0.114440E+00 0.496263E+00 0.653910E+00 0.883930E+00 0.133363E-01 0.121419E-01 0.433405E-01 0.222565E+00 0.796932E-01 0.170389E-01 0.497107E+00 0.184718E-01 0.180557E+00 0.548490E-01 0.839943E-02 0.433667E+00 0.227994E-01 0.229901E-01 0.146518E-02 0.351838E+00 0.336253E-01
 0.947368E+01 0.321669E+00 0.120978E+00 0.231693E-01 0.104273E+00 0.416921E+00 0.682884E+00 0.855272E+00 0.160224E-01 0.123082E-01 0.414000E-01 0.208647E+00 0.723925E-01 0.148270E-01 0.476352E+00 0.194168E-01 0.167601E+00 0.485852E-01 0.699904E-02 0.413955E+00 0.231784E-01 0.196191E-01 0.126707E-02 0.347808E+00 0.335599E-01
 0.965789E+01 0.300589E+00 0.108153E+00 0.195592E-01 0.943339E-01 0.327851E+00 0.704312E+00 0.822367E+00 0.188124E-01 0.123774E-01 0.385161E-01 0.195140E+00 0.654515E-01 0.127903E-01 0.454867E+00 0.203121E-01 0.154904E+00 0.427014E-01 0.576573E-02 0.393711E+00 0.233719E-01 0.166865E-01 0.108298E-02 0.346094E+00 0.334565E-01
 0.984211E+01 0.279744E+00 0.960814E-01 0.163661E-01 0.846903E-01 0.227165E+00 0.723024E+00 0.785180E+00 0.215413E-01 0.123415E-01 0.366336E-01 0.182025E+00 0.588687E-01 0.109327E-01 0.432836E+00 0.210806E-01 0.142520E+00 0.372127E-01 0.468990E-02 0.372642E+00 0.234060E-01 0.141475E-01 0.917252E-03 0.346998E+00 0.333582E-01
 0.100263E+02 0.259218E+00 0.847752E-01 0.135644E-01 0.753952E-01 0.112598E+00 0.741662E+00 0.742902E+00 0.241382E-01 0.121947E-01 0.371881E-01 0.169247E+00 0.526045E-01 0.924695E-02 0.410755E+00 0.216447E-01 0.130587E+00 0.321707E-01 0.376933E-02 0.350475E+00 0.232931E-01 0.119692E-01 0.770369E-03 0.351114E+00 0.332924E-01
 0.102105E+02 0.238977E+00 0.741877E-01 0.111144E-01 0.664783E-01 -.194019E-01 0.756272E+00 0.695026E+00 0.265731E-01 0.119430E-01 0.392304E-01 0.156695E+00 0.466123E-01 0.772254E-02 0.388267E+00 0.220365E-01 0.119115E+00 0.275754E-01 0.299011E-02 0.327584E+00 0.229781E-01 0.100962E-01 0.643141E-03 0.358691E+00 0.333213E-01
 0.103947E+02 0.219297E+00 0.644025E-01 0.900243E-02 0.580551E-01 -.170470E+00 0.762481E+00 0.641649E+00 0.288193E-01 0.115857E-01 0.401683E-01 0.144506E+00 0.409718E-01 0.637302E-02 0.364572E+00 0.223296E-01 0.108254E+00 0.234308E-01 0.233536E-02 0.304018E+00 0.224765E-01 0.850732E-02 0.535209E-03 0.369957E+00 0.334817E-01
 0.105789E+02 0.200305E+00 0.554243E-01 0.719697E-02 0.501804E-01 -.342877E+00 0.757866E+00 0.583351E+00 0.308306E-01 0.111268E-01 0.401227E-01 0.132663E+00 0.356666E-01 0.518602E-02 0.340651E+00 0.223977E-01 0.981268E-01 0.197576E-01 0.179575E-02 0.279532E+00 0.218611E-01 0.716852E-02 0.445483E-03 0.384738E+00 0.337295E-01
 0.107632E+02 0.182197E+00 0.472994E-01 0.568137E-02 0.429441E-01 -.539465E+00 0.744442E+00 0.522049E+00 0.322604E-01 0.105753E-01 0.406728E-01 0.121267E+00 0.307705E-01 0.416935E-02 0.316222E+00 0.222389E-01 0.887857E-01 0.165289E-01 0.135428E-02 0.255774E+00 0.210402E-01 0.604355E-02 0.372013E-03 0.402058E+00 0.339756E-01
